Price,Close,High,Low,Open,Volume
Ticker,ISF.L,ISF.L,ISF.L,ISF.L,ISF.L
Date,,,,,
2009-01-01,414.7064208984375,467.6953037126949,395.30204127631504,441.325249354426,237460720
2009-02-01,381.8681945800781,434.6082970237111,374.90252067242847,410.4772124150677,203920826
2009-03-01,391.9684753417969,401.3223756538529,344.0545885995655,371.91728847169225,350339599
2009-04-01,424.11016845703125,428.88661982531227,383.1121778021931,392.06804689367294,261815028
2009-05-01,439.1359558105469,452.768786360212,420.62719015697655,423.21441607040754,217321468
2009-06-01,425.10516357421875,449.8830560739789,420.9257468484101,447.09676813412983,196098021
2009-07-01,459.7345886230469,464.0134914782084,408.9846665023209,426.79688799659647,151630936
2009-08-01,489.08984375,495.0604217001526,458.34137338030007,458.4408890863886,151013880
2009-09-01,511.6787414550781,517.0522272583219,474.4621001321065,488.5924855896142,149459595
2009-10-01,502.02618408203125,528.3962413232083,493.7668952819687,511.4796008288683,165405986
2009-11-01,515.9575805664062,538.944287440974,496.45368137979733,499.6380026066494,119584099
2009-12-01,537.650634765625,541.7305669175724,515.559479991273,520.5349625649617,152732423
2010-01-01,516.1563720703125,556.5572504420226,511.87747088093005,537.6504240712114,158081243
2010-02-01,532.4761352539062,539.0438088716933,501.8271739118522,515.1614918670995,144700280
2010-03-01,567.006103515625,573.1757153769285,532.973783267943,537.3522331658704,143566009
2010-04-01,555.76123046875,583.9224409218762,554.2685861613138,569.195029235676,119133141
2010-05-01,517.4502563476562,556.8560592674721,495.35909864102274,555.7614772503192,228220742
2010-06-01,490.7815246582031,532.5755707357848,489.58739690881447,516.4549979586884,154209259
2010-07-01,525.65966796875,539.5910174274579,478.6413635456105,485.60703827496445,165695852
2010-08-01,519.4403686523438,542.029071160453,504.4144055545223,530.0879132603991,125298571
2010-09-01,551.283447265625,561.1349266645387,519.7388768543351,521.8286158937947,126203265
2010-10-01,564.3191528320312,575.762761608179,551.8804476405664,554.6667661921467,104952684
2010-11-01,549.09423828125,588.1020333512117,548.0991417781177,567.6030696810338,154488277
2010-12-01,588.599365234375,598.0527785390691,552.3778415409972,553.2734523589392,86402394
2011-01-01,582.5296630859375,610.989405907127,578.1512130814996,588.5997289805629,86457709
2011-02-01,595.0676879882812,608.8995531907174,581.9274221195537,586.7088533609881,107171267
2011-03-01,588.9976806640625,603.0285179254029,520.5807833053179,598.9486463063959,230949420
2011-04-01,606.9092407226562,608.4018851309895,584.5772736612929,593.4256376453604,103267856
2011-05-01,593.9730834960938,610.1144902149973,575.6513199199713,606.9093370890284,155264149
2011-06-01,592.281494140625,595.6647860572615,561.9260682330148,595.3662692316576,184355670
2011-07-01,579.0465698242188,605.242431720278,571.1852846436644,593.1768889044166,146638980
2011-08-01,536.45654296875,588.5429008432687,480.93016584996144,584.121693532628,286549862
2011-09-01,511.4796142578125,541.6310268421785,489.88600750092115,538.3969631333499,182357136
2011-10-01,550.2882690429688,597.0577964299843,485.3084910120108,498.6427757253611,144495499
2011-11-01,546.4075317382812,558.791516507603,503.0880008685736,540.9345003083423,172884123
2011-12-01,536.3569946289062,557.8839120830241,529.3913193739854,547.2035703916303,133552640
2012-01-01,563.4237670898438,575.9619612912122,536.3571245392045,536.3571245392045,125667162
2012-02-01,582.1317138671875,592.6797172087125,563.4239034148745,566.4091942552191,117862696
2012-03-01,574.5686645507812,596.3612384688345,563.3240270550987,582.0318872766616,144154701
2012-04-01,574.767822265625,587.025477192727,557.1546594898713,576.5590448913941,113156643
2012-05-01,529.1925048828125,583.8233475016273,520.4356645481108,575.1659925598625,165044004
2012-06-01,555.263916015625,560.2393991340446,520.0176106107865,530.2870150555099,100611710
2012-07-01,562.0304565429688,571.0858705784694,542.9245927689351,557.0549743484739,121043108
2012-08-01,566.3091430664062,588.4002877305466,562.2292735175192,562.2292735175192,98679869
2012-09-01,572.6779174804688,590.0323992858533,560.1944514720998,566.2097915662671,102467868
2012-10-01,577.2554931640625,590.7888428919764,571.5834913312606,571.5834913312606,123369592
2012-11-01,582.5296630859375,592.2239000197474,561.8316020495607,577.7531500862286,117038504
2012-12-01,584.3704833984375,595.5752809289771,580.5393857496908,584.3207407151831,64889840
2013-01-01,622.2337646484375,629.7298457254084,584.3703589048812,584.3703589048812,111935788
2013-02-01,629.796630859375,635.3691472456452,616.4493760525046,623.726505462176,132718090
2013-03-01,638.8817138671875,648.3355710038514,624.8949883078512,629.1293260213162,126239792
2013-04-01,641.4692993164062,647.4401586736377,619.6428394569793,638.8819512237616,180505577
2013-05-01,651.9183349609375,688.3406152582182,637.4887574777773,637.4887574777773,133635236
2013-06-01,619.2557373046875,651.9293687761549,599.1513123490246,649.9099783453705,119682109
2013-07-01,658.0714111328125,662.8934568809065,616.170579317172,625.1279940038809,130242230
2013-08-01,637.867431640625,666.5261632576651,633.9858612527815,661.256234999244,134280871
2013-09-01,641.701171875,665.8881275878049,639.0137188510773,644.1895430543267,125665425
2013-10-01,668.4764404296875,677.335071841726,627.4681055481628,641.2039111663339,118776158
2013-11-01,656.6315307617188,676.7375860769728,652.5505647576693,666.1868537079475,78102872
2013-12-01,663.9493408203125,669.324667132352,635.2830805347554,658.574014508273,89980387
2014-01-01,643.941162109375,678.9801118827053,635.0818456034215,663.9492022217588,115760853
2014-02-01,674.4012451171875,684.6541227441542,634.1860026557727,642.8462226778488,135947634
2014-03-01,656.5076904296875,674.9357208659177,644.8607639823225,666.8605274402843,165505578
2014-04-01,676.2177734375,677.6114454661296,647.1383429749321,658.9962815545609,136842190
2014-05-01,676.7154541015625,689.1189398014026,670.6929176053209,677.5118120190614,101019769
2014-06-01,669.8217163085938,681.3704032582947,665.3416363768501,679.1801298053365,84292998
2014-07-01,667.8305053710938,681.8681242646144,659.5672597789322,671.0163518354723,90677368
2014-08-01,676.29296875,677.9057927259327,649.5757636199407,666.8350218655919,116924449
2014-09-01,657.6268310546875,684.6089219952469,655.3647414586654,675.0507062151069,121028236
2014-10-01,650.8566284179688,662.6023123636018,602.6671284680937,656.6313881384893,138679972
2014-11-01,663.7003173828125,678.6381070288717,640.6012841995235,648.6660255197648,94219247
2014-12-01,649.13037109375,667.4521606457541,607.1494574452439,657.1959332367732,148807086
2015-01-01,665.6595458984375,680.9941356640167,621.547788594662,649.1301035492074,162818924
2015-02-01,685.77392578125,689.7708486087795,664.6639862718315,668.8461538462371,133526500
2015-03-01,672.8494873046875,701.5279787517809,663.0908419843277,686.0933674378666,133106495
2015-04-01,694.1591796875,709.9921280318171,672.2778804897167,673.0486629319738,111404119
2015-05-01,690.375244140625,708.8968149604801,679.366887870764,693.0638661216317,128220332
